video,frame,person_id,kpt_0,kpt_1,kpt_2,kpt_3,kpt_4,kpt_5,kpt_6,kpt_7,kpt_8,kpt_9,kpt_10,kpt_11,kpt_12,kpt_13,kpt_14,kpt_15,kpt_16,kpt_17,kpt_18,kpt_19,kpt_20,kpt_21,kpt_22,kpt_23,kpt_24,kpt_25,kpt_26,kpt_27,kpt_28,kpt_29,kpt_30,kpt_31,kpt_32,kpt_33,label
inout1.mp4,200,1,636.0032959,425.1283264,637.4859619,409.1846008,622.7078857,410.3443909,615.1130371,402.9206543,569.1323853,406.2358398,609.7508545,474.3663025,528.3070068,495.4650879,644.9893188,580.9248657,555.5963135,631.9078369,703.2713623,588.8692627,669.928894,625.3369141,643.3343506,707.0583496,587.8706055,724.4082031,655.7716675,882.6721802,604.1043701,908.5728149,663.2154541,1034.669556,616.4705811,1059.694336,Suspicious
inout1.mp4,205,1,640.3856812,430.1181335,640.6930542,414.4968567,628.8393555,414.9996948,615.5206299,405.9005127,575.8955078,407.5185242,613.4998169,472.8274841,527.6189575,495.3157959,654.2368164,580.3034668,554.234375,635.2507935,712.0792236,597.4941406,667.2650146,623.2924805,640.2635498,714.6634521,580.9898682,731.5062866,651.2336426,893.411499,584.4106445,918.1470337,655.9517822,1044.79541,587.5494385,1067.008423,Suspicious
inout1.mp4,210,1,651.8039551,429.197937,653.5419922,413.5387573,638.7039185,414.012085,633.7678223,405.7286682,584.1853027,406.6018677,631.6286011,473.0481567,534.4701538,493.2666321,667.4099731,579.3349609,550.1530762,629.3643799,715.770874,599.7040405,659.0733643,623.7757568,661.9248047,709.1903076,595.1647949,726.9909668,677.3567505,885.0087891,603.619751,915.6656494,678.2798462,1031.397095,607.8815308,1063.887573,Suspicious
inout1.mp4,215,1,670.7191772,428.2283936,672.1418457,412.7318115,656.9946899,412.8500977,652.5436401,405.664032,600.1971436,405.4675293,649.0698242,472.136261,546.2116699,487.3351135,670.7414551,578.4147949,548.2539063,619.1663208,701.8862915,597.6143188,657.2518311,614.3062134,668.2194214,706.2128906,597.6997681,719.942749,665.9145508,884.9141235,591.0491943,908.2080688,655.565918,1039.375977,586.6029053,1060.103516,Suspicious
inout1.mp4,220,1,689.4434814,429.4998169,690.7264404,415.4378357,678.0645142,413.7813721,670.9274902,407.4041748,625.7810059,402.8482666,673.2543335,469.624054,565.5220947,479.5305786,692.9766846,579.5272217,557.6016846,609.7435303,713.8189087,613.6052856,659.8822021,610.3482666,690.5696411,701.1311646,617.6523438,711.3856201,679.890625,884.397583,603.2722168,900.6547852,661.6689453,1044.199097,596.9708252,1057.589722,Suspicious
inout1.mp4,225,1,711.9703369,429.6542358,714.2504883,415.6616211,700.3343506,413.4072876,696.0253906,410.7226868,646.5404053,403.6137695,695.2060547,475.8959961,579.4016724,479.1133423,723.8652344,576.5003662,558.7573242,603.652771,753.7703247,596.4056396,664.1772461,611.0023193,695.145813,700.4977417,617.5738525,707.1203003,673.9421387,880.984314,595.5614014,892.3114014,655.815918,1046.526978,589.0361328,1052.945313,Suspicious
inout1.mp4,230,1,728.8309326,428.0565491,732.30896,413.5219116,715.5078735,411.1567383,718.119873,410.0169067,663.2788086,402.992157,720.1880493,480.6889038,595.8321533,478.0000305,767.7543945,581.8592529,554.7783813,603.9519043,846.1400757,592.9538574,654.6453857,619.3635254,706.6271362,701.569458,627.6478271,705.5628052,686.8914795,880.5162964,609.7226563,887.3227539,651.2067871,1041.178467,588.7423706,1040.642944,Suspicious
inout1.mp4,235,1,743.3874512,428.5805664,747.0666504,413.8321838,730.6026611,411.9342957,733.8726807,411.6876221,679.9719238,404.8466187,738.5246582,482.4020386,608.5626831,478.0053711,803.8846436,574.9838257,559.0786743,587.9664307,904.3903198,617.3110352,653.4241943,614.9354248,708.9212646,698.1051025,629.0765381,701.7121582,691.8880005,866.6004639,616.3737793,874.7811279,654.4104004,1035.089478,591.9587402,1034.020264,Suspicious
inout1.mp4,240,1,755.840332,434.3676453,759.859375,419.5895996,743.7941895,417.546875,746.8249512,416.1861877,691.4262695,407.7510986,750.5708008,483.6968079,613.5507813,478.4019775,833.7727661,566.7241211,561.6108398,579.9475708,933.1413574,614.6352539,651.2697754,616.3233643,706.8273926,694.9537354,622.4329224,698.5860596,691.7994385,860.494873,608.3936768,874.5587769,659.5979004,1022.483643,585.7285156,1030.939819,Suspicious
inout1.mp4,280,1,637.4854736,433.6639404,643.644043,418.1507263,622.505249,417.8495178,636.0924683,408.2657471,572.0054321,406.8988037,635.6751099,471.1624146,529.2935791,490.7784119,676.8990479,562.1085205,547.9066162,629.605957,732.9262695,557.0761719,655.9869995,620.9324951,658.1342773,699.7584839,585.5045776,715.6947021,665.4956665,878.2516479,585.9248047,904.3555298,661.4176025,1037.276733,591.1644287,1066.757324,Suspicious
