epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.18911,0.27927,0.93401,1,0.14934,0.00040008,0.00040008,0.00040008
2,6.03175,0.10207,0.97462,1,0.06921,0.000808743,0.000808743,0.000808743
3,7.37047,0.15693,0.95939,1,0.12053,0.00120916,0.00120916,0.00120916
4,8.66014,0.12841,0.8934,1,0.64612,0.00160132,0.00160132,0.00160132
5,9.91066,0.21419,0.91371,1,0.73969,0.00160099,0.00160099,0.00160099
6,11.2097,0.14085,0.88832,1,0.89282,0.00158448,0.00158448,0.00158448
7,12.489,0.18471,0.91878,1,0.15213,0.00156798,0.00156798,0.00156798
8,13.7526,0.09496,0.98477,1,0.02352,0.00155148,0.00155148,0.00155148
9,15.0063,0.10588,0.93909,1,0.17262,0.00153497,0.00153497,0.00153497
10,16.2444,0.1102,0.95939,1,0.13023,0.00151847,0.00151847,0.00151847
11,17.5073,0.09541,0.9797,1,0.04142,0.00150197,0.00150197,0.00150197
12,18.8117,0.10079,0.93909,1,0.12976,0.00148546,0.00148546,0.00148546
13,20.0448,0.10736,0.98985,1,0.06122,0.00146896,0.00146896,0.00146896
14,21.3711,0.08343,0.97462,1,0.06959,0.00145246,0.00145246,0.00145246
15,22.694,0.09604,0.94924,1,0.06913,0.00143595,0.00143595,0.00143595
16,23.9548,0.07316,0.98477,1,0.05813,0.00141945,0.00141945,0.00141945
17,25.2049,0.08262,0.98985,1,0.02855,0.00140295,0.00140295,0.00140295
18,26.4982,0.07,0.97462,1,0.11084,0.00138644,0.00138644,0.00138644
19,27.774,0.04889,0.98985,1,0.02451,0.00136994,0.00136994,0.00136994
20,29.0683,0.05498,0.98477,1,0.0161,0.00135344,0.00135344,0.00135344
21,30.3079,0.05881,0.96954,1,0.05954,0.00133693,0.00133693,0.00133693
22,31.5476,0.05384,0.98985,1,0.0158,0.00132043,0.00132043,0.00132043
23,32.8246,0.03998,0.9797,1,0.0355,0.00130393,0.00130393,0.00130393
24,34.0542,0.06274,0.99492,1,0.01506,0.00128742,0.00128742,0.00128742
25,35.3164,0.04358,0.98985,1,0.01724,0.00127092,0.00127092,0.00127092
26,36.568,0.02666,0.98985,1,0.02169,0.00125442,0.00125442,0.00125442
27,37.8207,0.05,0.99492,1,0.01831,0.00123791,0.00123791,0.00123791
28,39.0932,0.05651,0.9797,1,0.14761,0.00122141,0.00122141,0.00122141
29,40.302,0.05779,0.9797,1,0.02936,0.00120491,0.00120491,0.00120491
30,41.5329,0.07094,0.99492,1,0.07906,0.0011884,0.0011884,0.0011884
31,42.8022,0.04543,0.99492,1,0.0138,0.0011719,0.0011719,0.0011719
32,44.0955,0.05003,0.98985,1,0.02369,0.0011554,0.0011554,0.0011554
33,45.336,0.05396,0.98477,1,0.03326,0.00113889,0.00113889,0.00113889
34,46.6355,0.05553,0.99492,1,0.01441,0.00112239,0.00112239,0.00112239
35,47.8933,0.02308,0.99492,1,0.01146,0.00110589,0.00110589,0.00110589
36,49.1683,0.05078,0.99492,1,0.01066,0.00108938,0.00108938,0.00108938
37,50.3899,0.03232,0.99492,1,0.02013,0.00107288,0.00107288,0.00107288
38,51.6304,0.04173,0.99492,1,0.01669,0.00105638,0.00105638,0.00105638
39,52.8684,0.01919,0.99492,1,0.01389,0.00103987,0.00103987,0.00103987
